carrier,serving_cellset,count
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035/279-1125/279-1125,1
310260,234-66786/234-1125/234-5035/234-68886,1
310260,126510-234/234-1125,5
310260,180-8763,1
310260,180-8763/203-1125/203-68886,1
310260,180-8763/203-1125/203-68886/203-5035,1
310260,512190-234/234-2300/234-68886,4
310260,512190-234/234-2300/234-68886/234-5035,1
310260,512190-234/234-2300/234-68886/234-5035/234-2300,1
310260,512190-234/234-2300/234-68886/234-5035/234-2300/234-68886,1
310260,512190-234/234-2300/234-68886/234-5035/234-2300/234-68886/234-5035,1
310260,512190-234/234-2300/234-68886/234-5035/234-2300/234-68886/234-5035/234-68886,1
310260,512190-234/234-2300/234-68886/234-5035/234-2300/234-68886/234-5035/234-68886/234-5035,1
310260,512190-234/234-2300/234-68886/234-5035/234-2300/234-68886/234-5035/234-68886/234-5035/234-2300,1
310260,512190-234/234-2300/234-68886/234-5035/234-2300/234-68886/234-5035/234-68886/234-5035/234-2300/234-68886,1
310260,126510-234/279-2300/279-5035,5
310260,512190-234/311-2300/311-68886,2
310260,311-5035/311-2300/311-1125,4
310260,126510-311/279-5035,1
310260,234-1125/234-2300/234-68886/234-5035,5
310260,126510-311/234-66786,2
310260,126510-234/234-66786,2
310260,512190-234/234-1125/234-68886,4
310260,126510-234/319-66786/234-1125/234-68886,1
310260,512190-74/190-1125,2
310260,512190-74/190-1125/190-68886,2
310260,126510-74/43-1125,10
310260,126510-74/43-1125/43-5035,6
310260,487-2300/487-47090/487-47291/487-1125,10
310260,126510-40/319-1125/319-5035,1
310260,126510-311/43-5035,6
310260,126510-311/279-2300/279-5035,2
310260,311-1125,1
310260,126510-311/311-66786,1
310260,512190-311/234-66786,2
310260,512190-311/311-5035,1
310260,126510-311/443-5035,2
310260,126510-234/443-2300/443-5035,2
310260,203-5035/203-2300/203-1125/203-1125/203-68886,1
310260,203-5035/203-2300/203-1125/203-1125/203-68886/203-5035,1
310260,190-66786,3
310260,512190-62/87-1125,11
310260,126510-159/206-1125/43-5035,5
310260,126510-234/203-68886/203-5035,1
310260,234-2300/234-1125/234-68886/234-5035/234-68886,7
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-68886,1
310260,234-2300/234-1125/234-68886/234-5035/234-68886/234-5035,6
310260,234-2300/234-1125/234-68886/234-5035/234-68886/234-5035/234-68886,4
310260,234-2300/234-1125/234-68886/234-5035/234-68886/234-5035/234-68886/234-5035,4
310260,469-2300,1
310260,234-2300/234-1125/234-68886/234-5035/234-68886/234-5035/234-68886/234-5035/234-68886,3
310260,234-2300/234-1125/234-68886/234-5035/234-68886/234-5035/234-68886/234-5035/234-68886/234-5035,2
310260,234-2300/234-1125/234-68886/234-5035/234-68886/234-5035/234-68886/234-5035/234-68886/234-5035/234-68886,2
310260,234-2300/234-1125/234-68886/234-5035/234-68886/234-5035/234-68886/234-5035/234-68886/234-5035/234-68886/234-5035,2
310260,126510-311/96-1125/96-1125/96-5035,1
310260,121-66786,1
310260,126510-234/319-1125/319-5035,4
310260,512190-311/234-1125,7
310260,126510-311/279-1125/279-5035,5
310260,126510-311/203-1125,5
310260,126510-429/96-1125,2
310260,126510-429/96-1125/96-5035,2
310260,203-1125,1
310260,126510-307/443-1125,1
310260,126510-307/443-1125/279-1125/279-5035,1
310260,512190-74/234-1125,1
310260,126510-311/311-1125,4
310260,126510-311/311-1125/469-1125,1
310260,243-8665/443-1125/443-5035,2
310260,126510-160/203-5035,1
310260,126510-87/293-1125/293-5035,6
310260,126510-203/293-1125,6
