carrier,serving_cellset,count
310410,675-273/5330-273/66686-273/67086-273,33
310410,675-273/174270-811/1025-273/9840-273,5
310410,675-43/5330-43/66686-43/67086-43,40
310410,675-43/174270-811/67086-43/66686-43/1025-43,7
310410,675-372/67086-372/5330-372/66686-372,71
310410,675-372/174270-811/67086-372/66686-372/1025-372,23
310410,675-464/5330-464/66686-464/67086-464,37
310410,675-464/174270-874/67086-464/66686-464,2
310410,675-464/174270-811,3
310410,1025-372/67086-372/675-372/5330-372,3
310410,67086-381/675-381/5330-381/66686-381,3
310410,1550-381,5
310410,67086-381/174270-811/1025-381/66686-381/675-381,1
310410,67086-258/174270-811/675-258/66686-258,11
310410,1550-258/174270-207/66686-258,1
310410,67086-388/174270-207/675-388/66686-388,13
310410,67086-76/174270-8/66686-76/1025-76/675-76,1
310410,1550-76/174270-8/66686-76/1025-76,1
310410,67086-76/174270-629/1025-76/66686-76,1
310410,1150-273,49
310410,1150-273/174270-372,1
310410,66686-273/5330-273/9840-273,1
310410,66686-273/174270-589/9840-273,1
310410,1150-273/174270-589/9840-273,1
310410,66686-273/174270-372/9840-273,2
310410,1150-273/174270-372/9840-273,1
310410,66686-273/174270-874/9840-273,1
310410,1150-273/174270-874/9840-273,1
310410,66686-273/174270-811/9840-273,1
310410,1150-273/174270-811/9840-273,1
310410,66686-478/675-478/5330-478/67086-478,25
310410,1150-478,51
310410,66686-478/174270-372/9840-478/67086-478,2
310410,1150-478/174270-372/9840-478/67086-478,1
310410,66686-478/174270-811/9840-478/67086-478,4
310410,66686-258/675-258/5330-258/67086-258,60
310410,1150-258,155
310410,66686-258/174270-811/9820-258/67086-258,44
310410,675-258/5330-258/66686-258/67086-258,69
310410,675-258/174270-811/66686-258/67086-258,10
310410,675-312,1
310410,675-312/174270-207/52740-312/52941-312/53139-312,1
310410,675-410,21
310410,675-410/174270-589/9820-410,1
310410,675-99,2
310410,675-99/174270-296/1025-99,1
310410,675-99/174270-811/1025-99,1
310410,675-382,1
310410,675-382/174270-811/53139-303/52941-305/52740-304,1
310410,675-99/5330-99/66686-99/67086-99,3
310410,675-99/174270-330/1025-99/9820-99,1
310410,675-440/66686-440/67086-440/5110-440,1
310410,675-440/174270-885/67086-440/66686-440/1025-440,1
310410,675-396/66686-396/67086-396/5110-396,1
310410,675-396/174270-684/67086-396/66686-396/1025-396,1
310410,675-97/66686-97/67086-97/5330-97,2
310410,675-97/174270-684/67086-97/66686-97/1025-97,1
310410,675-97/174270-885/1025-97/9840-97,1
310410,675-97/174270-741/1025-97/9840-97,1
310410,675-223/66686-223/67086-223/5330-223,1
310410,675-223/174270-741/67086-223/66686-223/1025-223,1
310410,675-97/174270-741/67086-97/66686-97/1025-97,1
310410,675-223/66686-223/67086-223/5110-223,1
310410,675-223/174270-741/66686-223/67086-223/1025-223,1
310410,675-97/66686-97/67086-97/5110-97,3
310410,675-97/174270-312/67086-97/66686-97/1025-97,2
310410,675-188,1
310410,675-460/174270-769/53141-460/52940-460,1
310410,66686-2/52740-2/52941-2/53139-2,5
310410,1150-2,160
310410,66686-2/174270-769/53139-2/52941-2/52740-2,1
310410,1150-2/174270-769/52941-2,2
310410,66686-2/174270-967/52941-2,1
310410,1150-2/174270-967/52941-2,1
310410,66686-2/52941-2,2
310410,66686-2/174270-174/52941-2,2
310410,66686-376/675-376/5330-376/67086-376,26
310410,1150-376,58
310410,66686-376/174270-174/1025-376/67086-376/675-376,14
310410,1150-376/174270-174/1025-376/67086-376/675-376,6
310410,66686-376/174270-769/1025-376/67086-376/675-376,10
310410,66686-104/1025-104/5330-104/67086-104,2
310410,1150-104,238
310410,66686-104/174270-769/9840-104/67086-104,24
310410,66686-114/675-490,2
310410,1150-114,2
310410,66686-104/675-104/5330-104/67086-104,81
310410,66686-104/174270-769/1025-104/67086-104/675-104,67
310410,1550-4,16
310410,1550-4/174270-769/675-4/5330-4/66686-4,1
310410,67086-4/174270-361/9820-4/66686-4,1
310410,1550-4/174270-361/66686-4,1
310410,1550-4/174270-738/66686-4,1
310410,675-32/5330-32,13
310410,675-32/174270-738,7
310410,675-220/5330-220,6
310410,675-220/174270-657,1
310410,675-220/174270-771,1
310410,675-420/5330-420/66686-420/67086-420,14
310410,675-32/174270-771,2
310410,675-4/5330-4/9820-4,13
310410,675-420/5330-420/67086-420,1
310410,675-420/174270-771/9820-420,7
310410,66686-237/52740-237/52941-237/53139-237,3
310410,1150-237,9
310410,66686-237/174270-771/53139-237/52941-237/52740-237,1
310410,1150-237/174270-771/53139-237/52941-237,2
310410,66686-237/174270-236/52941-237,1
310410,66686-167/675-167,6
310410,1150-167,15
310410,66686-167/174270-771/675-167,2
310410,1150-167/174270-771/675-167,2
310410,66686-167/174270-236/675-167,4
310410,1150-167/174270-236/675-167,2
310410,66686-167/174270-374/675-167,1
310410,1150-167/174270-374/675-167,1
310410,66686-167/174270-256/675-167,2
310410,66686-59/52740-59/52941-59/53139-59,26
310410,1150-59,29
310410,66686-332/5330-332/675-332,5
310410,1150-332,16
310410,66686-332/174270-256/675-332/67086-332,2
310410,66686-72/5330-72/675-72,15
310410,1150-72,31
310410,66686-72/174270-291/675-72/67086-72/1025-72,13
310410,66686-149/675-149,4
310410,1150-149,9
310410,66686-149/174270-291/675-149,3
310410,66686-104/174270-291/1025-104/67086-104/675-104,8
310410,66686-53/52740-53/52941-53/53139-53,7
310410,1150-53,19
310410,66686-53/174270-291/53139-53/52941-53/52740-53,4
310410,66686-472/52940-189/53141-190/53339-191,4
310410,1150-472,55
310410,66686-472/174270-291/53339-191/53141-190/52940-189,1
310410,1150-472/174270-291/53141-190/52940-189,1
310410,66686-472/174270-499/52940-189/53141-190,2
310410,66686-293/52740-0/52941-1/53139-2,26
310410,1150-293,31
310410,66686-293/174270-499/52740-0/52941-1/53139-2,1
310410,66686-336/675-336/5330-336/67086-336,69
310410,1150-336,110
310410,66686-336/174270-499/1025-336/67086-336/675-336,14
310410,66686-347/675-347/5330-347/67086-347,69
310410,1150-347,121
310410,66686-347/174270-873/675-347/1025-347/67086-347,12
310410,1150-347/174270-873/1025-347/67086-347,7
310410,66686-347/174270-985/1025-347,1
310410,66686-171/675-327/5330-327/67086-327,44
310410,1150-171,75
310410,66686-171/174270-985/1025-327/67086-327/675-327,16
310410,66686-441/53140-441/53341-441/53539-441,26
310410,1150-441,70
310410,66686-441/174270-873/53539-441/53341-441/53140-441,8
310410,1150-441/174270-873/53539-441/53341-441,2
310410,66686-441/174270-946/53341-441,3
310410,1150-441/174270-946/53341-441,2
310410,66686-441/53341-441,1
310410,66686-441/174270-873/53341-441,3
310410,66686-8/52740-8/52941-8/53139-8,9
310410,1150-8,38
310410,66686-8/174270-927/52941-8/52740-8/53139-8,1
310410,1150-8/174270-927/52941-8/52740-8/53139-8,2
310410,66686-8/174270-873/53139-8/52941-8/52740-8,5
310410,1150-8/174270-873/53139-8/52941-8/52740-8,4
310410,66686-8/174270-927/53139-8/52941-8/52740-8,4
310410,1150-8/174270-927/53139-8/52941-8/52740-8,3
310410,66686-8/174270-873/52740-8/52941-8/53139-8,2
310410,66686-258/52740-258/52941-258/53139-258,4
310410,66686-258/174270-873/52740-258/52941-258/53139-258,2
310410,1150-258/174270-873/52740-258,1
310410,66686-258/174270-778/52740-258,1
310410,66686-50/52740-389/52941-387/53139-388,5
310410,1150-50,11
310410,66686-50/174270-873/52740-389/52941-387/53139-388,1
310410,1150-50/174270-873/52740-389/52941-387/53139-388,1
310410,66686-50/174270-778/52740-389/52941-387/53139-388,1
310410,66686-195/675-195/5330-195/67086-195,7
310410,1150-195,17
310410,66686-195/174270-778/1025-195/67086-195/675-195,2
310410,66686-344/52740-344/52941-344/53139-344,6
310410,1150-344,12
310410,66686-344/174270-778/53139-344/52941-344/52740-344,1
310410,1150-344/174270-778/53139-344/52941-344/52740-344,1
310410,1150-344/174270-299/53139-344/52941-344/52740-344,1
310410,66686-397/675-397/5330-397/67086-397,3
310410,1150-397,7
310410,66686-397/174270-299/9840-397/67086-397,1
310410,66686-50/174270-299/52740-389/52941-387/53139-388,1
310410,675-448/174270-873/66686-448/67086-448,1
310410,675-448/5330-448/9820-448,1
310410,675-460/174270-769,6
310410,675-2/52740-2/52941-2/53139-2,8
310410,675-2/174270-769/53139-2/52941-2,1
310410,675-376/5330-376/66686-376/67086-376,54
310410,675-376/174270-174/67086-376/1025-376/66686-376,2
310410,675-376/174270-769/66686-376/67086-376,2
310410,675-104/5330-104/66686-104/67086-104,40
310410,675-104/174270-769/1025-104/9840-104,15
310410,675-490/5110-490,3
310410,675-376/5330-376/66686-376/1025-376,3
310410,675-220/174270-738,3
310410,675-220/174270-361,2
310410,675-4/5330-4/66686-4/67086-4,6
310410,675-4/174270-738/1025-4/9820-4,2
310410,675-4/5110-4/9820-4,4
310410,675-237/52740-237/52941-237/53139-237,4
310410,675-237/174270-771/53139-237/52941-237,1
310410,66686-237/174270-771/53139-237/52941-237,1
310410,66686-237/174270-256/53139-237/52941-237,2
310410,1150-167/174270-256/675-167,2
310410,66686-332/174270-236/675-332/67086-332,2
310410,1150-332/174270-236/675-332/67086-332,1
310410,1150-332/174270-256/675-332/67086-332,1
310410,66686-72/2256663-929/5330-72/2258329-929/2259995-929/2261661-929,1
310410,1150-72/2256663-929/5330-72,1
310410,66686-472/2256663-929/675-472/2258329-929/2259995-929/2261661-929,4
310410,1150-472/2256663-929/675-472,4
310410,66686-472/174270-499/53339-191/53141-190/52940-189,1
310410,66686-347/174270-873/1025-347/67086-347,11
310410,66686-347/174270-985/67086-347/1025-347,2
310410,1150-347/174270-985/67086-347/1025-347,1
310410,66686-441/174270-873/53140-441/53341-441,1
310410,66686-347/675-347/1025-347/5330-347,3
310410,66686-307/52740-307/52941-307/53139-307,24
310410,1150-307,43
310410,1150-441/174270-873/53341-441,2
310410,66686-8/174270-927/52740-8/52941-8/53139-8,2
