carrier,serving_cellset,count
46000,38098-236/38950-429,3
46000,38950-429/39148-429,1
46000,39148-429/39148-429,2
46000,38098-235,13
46000,40936-235,11
46000,37900-235,11
46000,1300-101,5
46000,39148-69,1
46000,39148-93,7
46000,39292-93,3
46000,38950-93,3
46000,39148-94,1
46000,38950-94,2
46000,38950-112,3
46000,38950-422,1
46000,39148-422,2
46000,39148-201,1
46000,38950-201,18
46000,38950-278,4
46000,39148-278,7
46000,39292-278,3
46000,39148-403,20
46000,39148-403/38950-403,1
46000,39292-404/38950-403,1
46000,38950-90/38950-403,1
46000,38950-90/39148-90,4
46000,1300-103/39148-90,1
46000,1300-103,26
46000,38950-90,10
46000,39148-90,4
46000,1300-98,3
46000,39148-139,4
46000,38950-139,2
46000,39148-290,1
46000,39148-290/38950-290,1
46000,39148-289/38950-290,1
46000,39148-289,4
46000,38950-289,6
46000,38950-168,3
46000,38950-169,1
46000,38950-169/39148-169,1
46000,38950-121/39148-169,1
46000,38950-121,5
46000,38950-121/39148-121,1
46000,38950-122/39148-121,2
46000,38950-122,11
46000,38950-122/39148-122,8
46000,38950-456/39148-122,8
46000,38950-456,8
46000,38950-456/39148-456,4
46000,38950-122/39148-456,8
46000,38950-120/39148-122,1
46000,38950-120,5
46000,38950-120/39148-120,2
46000,38950-463/39148-120,1
46000,38950-463,1
46000,38950-463/39148-463,1
46000,38950-464/39148-463,2
46000,38950-464,1
46000,38950-464/39148-464,1
46000,38950-129/39148-464,1
46000,38950-129,1
46000,38950-13,21
46000,38950-13/39148-13,9
46000,39148-13/39148-13,8
46000,39148-13,13
46000,39148-13/38950-13,1
46000,38950-13/38950-13,2
46000,38950-90/39148-13,5
46000,38950-13/39148-90,6
46000,38950-117/39148-13,1
46000,38950-117,1
46000,39148-113,5
46000,39292-113,2
46000,39148-153,1
46000,39148-153/38950-153,1
46000,39148-154/38950-153,1
46000,39148-154,1
46000,39148-154/38950-154,1
46000,39148-296/38950-154,1
46000,39148-296,1
46000,39148-490,1
46000,39148-93/38950-93,1
46000,39292-93/38950-93,2
46000,39292-143,16
46000,39292-358,18
46000,39148-267,2
46000,38950-267,4
46000,38950-267/39148-267,2
46000,1300-323/39148-267,1
46000,38950-14/39148-267,1
46000,38950-14,4
46000,38950-14/39148-14,2
46000,38950-13/39148-14,1
46000,38950-12/39148-13,1
46000,38950-12,2
46000,38950-12/39148-12,1
46000,38950-427/39148-12,1
46000,38950-427/39148-427,2
46000,38950-428/39148-427,2
46000,38950-428/39148-428,1
46000,38950-427/39148-428,1
46000,38950-495/39148-427,1
46000,38950-495/39148-495,1
46000,38950-497/39148-495,1
46000,38950-495/39148-497,1
46000,3683-345/39148-497,2
46000,3683-345,3
46000,38950-212,4
46000,39292-497/39148-497,1
46000,39292-497,1
46000,39292-12,1
46000,3683-170,7
46000,3683-168,4
46000,1300-233,1
46000,1300-236,3
46000,3683-260,1
46000,1300-47,8
46000,1300-45,15
46000,38098-383,27
46000,38098-489,10
46000,38098-389,7
46000,38098-388,22
46000,38098-116,12
46000,38098-387,1
46000,38098-181,30
46000,38098-97,11
46000,38950-3,3
46000,38950-440,5
46000,37900-443,21
46000,38098-250,2
46000,40936-250,4
46000,40936-374,3
46000,40936-373,4
46000,39148-492,2
46000,38950-492,2
46000,38950-492/39148-492,1
46000,38950-65/39148-492,1
46000,38950-65,1
46000,38950-493,9
46000,38950-485,1
46000,38950-485/39148-485,1
46000,38950-486/39148-485,1
46000,38950-486,1
46000,38950-486/39148-486,1
46000,1300-486/39148-486,1
46000,1300-486,7
46000,38950-229,11
46000,39148-229,2
46000,39148-229/38950-229,1
46000,39148-471/38950-229,1
46000,39148-471,1
46000,39148-471/38950-471,1
46000,39148-472/38950-471,1
46000,39148-464/38950-472,1
46000,39148-464,1
46000,39148-464/38950-464,1
46000,39148-463/38950-464,2
46000,39148-463,2
46000,39148-446/38950-426,1
46000,39148-446,1
46000,39148-446/38950-446,1
46000,39148-445/38950-446,1
46000,39148-445/38950-445,1
46000,39148-420/38950-445,1
46000,39148-420/38950-420,1
46000,39148-473/38950-420,1
46000,39148-473/38950-473,1
