operator,pcell,freq,thres_b1,thres_a2,count
att,850-216,2259995_S,-113.0,-96.0,1
att,850-168,2259995_S,-110.0,-96.0,1
att,850-203,2259995_S,-112.0,-96.0,1
att,850-305,2269991_S,-112.0,-96.0,1
att,850-254,2261661_S,-112.0,-96.0,1
att,850-78,2259995_S,-110.0,-96.0,1
att,850-271,2263327_S,-112.0,-96.0,1
att,850-363,2259995_S,-110.0,-96.0,1
att,850-170,2259995_S,-110.0,-96.0,1
att,850-446,2259995_S,-112.0,-96.0,1
att,850-25,2264993_S,-112.0,-96.0,1
att,850-245,2259995_S,-110.0,-96.0,1
att,850-220,2259995_S,-112.0,-96.0,1
att,850-4,2266659_S,-112.0,-96.0,1
att,850-469,2259995_S,-110.0,-96.0,1
att,850-20,2271657_S,-112.0,-96.0,1
att,850-357,2259995_S,-110.0,-96.0,1
att,850-95,2259995_S,-113.0,-96.0,1
att,850-348,2268325_S,-112.0,-96.0,1
att,850-369,2259995_S,-112.0,-96.0,1
att,850-450,2259995_S,-115.0,-113.0,1
att,850-8,2259995_S,-110.0,-96.0,1
att,850-489,2261661_S,-112.0,-96.0,1
att,9820-265,2264993_S,-115.0,-96.0,1
att,9820-265,2264993_S,-115.0,-113.0,1
att,850-152,2259995_S,-112.0,-96.0,1
att,850-41,2264993_S,-112.0,-96.0,1
att,850-147,2259995_S,-110.0,-96.0,1
att,850-298,2259995_S,-112.0,-96.0,1
att,850-329,2259995_S,-112.0,-96.0,1
att,9820-57,2259995_S,-110.0,-96.0,1
att,9820-275,2264993_S,-110.0,-96.0,1
att,850-425,2263327_S,-112.0,-96.0,1
att,850-422,2259995_S,-112.0,-96.0,1
att,850-287,2259995_S,-113.0,-96.0,1
att,850-296,2259995_S,-113.0,-96.0,1
att,850-451,2259995_S,-110.0,-96.0,1
att,9820-217,2259995_S,-112.0,-96.0,1
att,850-429,2259995_S,-112.0,-96.0,1
att,850-64,2263327_S,-112.0,-96.0,1
att,850-395,2259995_S,-110.0,-96.0,1
att,850-441,2259995_S,-112.0,-96.0,1
att,850-218,2259995_S,-112.0,-96.0,1
att,850-176,2259995_S,-112.0,-96.0,1
att,850-67,2259995_S,-112.0,-96.0,1
att,850-332,2259995_S,-112.0,-96.0,1
att,850-282,2259995_S,-110.0,-96.0,1
att,850-283,2259995_S,-110.0,-96.0,1
att,850-462,2259995_S,-112.0,-96.0,1
att,850-406,2259995_S,-112.0,-96.0,1
att,850-299,2259995_S,-112.0,-96.0,1
att,850-211,2259995_S,-110.0,-96.0,1
att,850-328,2259995_S,-113.0,-96.0,1
att,850-324,2259995_S,-112.0,-96.0,1
att,9820-177,2259995_S,-112.0,-96.0,1
att,850-54,2259995_S,-110.0,-96.0,1
att,850-264,174300_S,-140.0,-115.0,1
att,850-464,2259995_S,-113.0,-96.0,1
att,850-94,2259995_S,-113.0,-96.0,1
att,5110-91,2259995_S,-115.0,-113.0,1
att,5110-91,2259995_S,-115.0,-96.0,1
att,850-160,2259995_S,-110.0,-96.0,1
att,850-62,2259995_S,-112.0,-96.0,1
att,850-222,2259995_S,-110.0,-96.0,1
att,850-488,2259995_S,-110.0,-96.0,1
att,850-161,2259995_S,-110.0,-96.0,1
att,850-17,2259995_S,-110.0,-96.0,1
att,850-159,2259995_S,-110.0,-96.0,1
att,850-101,2259995_S,-112.0,-96.0,1
att,850-345,2266659_S,-112.0,-96.0,1
att,9820-178,2259995_S,-113.0,-96.0,1
att,850-189,2259995_S,-110.0,-96.0,1
att,9820-400,2261661_S,-115.0,-96.0,1
att,9820-400,2261661_S,-115.0,-113.0,1
att,850-79,2259995_S,-115.0,-113.0,1
att,850-79,2259995_S,-115.0,-96.0,1
att,850-312,2259995_S,-110.0,-96.0,1
att,850-151,2259995_S,-112.0,-96.0,1
att,850-438,2259995_S,-110.0,-96.0,1
att,850-306,2259995_S,-112.0,-96.0,1
att,66936-196,2271657_S,-115.0,-96.0,1
att,66936-196,2271657_S,-115.0,-113.0,1
att,66936-321,2269991_S,-112.0,-96.0,1
att,66936-360,2271657_S,-115.0,-113.0,1
att,66936-360,2271657_S,-115.0,-96.0,1
att,1400-169,2259995_S,-110.0,-96.0,1
att,850-204,2259995_S,-110.0,-96.0,1
att,850-361,2259995_S,-113.0,-96.0,1
att,850-198,2259995_S,-112.0,-96.0,1
att,850-241,2268325_S,-112.0,-96.0,1
att,850-457,2266659_S,-115.0,-96.0,1
att,850-457,2266659_S,-115.0,-113.0,1
att,850-201,2259995_S,-110.0,-96.0,1
att,850-417,2259995_S,-112.0,-96.0,1
att,5110-230,2259995_S,-115.0,-113.0,1
att,5110-230,2259995_S,-115.0,-96.0,1
att,1400-148,2259995_S,-113.0,-96.0,1
att,850-315,2261661_S,-112.0,-96.0,1
att,850-1,2264993_S,-113.0,-96.0,1
att,850-319,2259995_S,-113.0,-96.0,1
att,850-277,2259995_S,-113.0,-96.0,1
att,850-164,2259995_S,-110.0,-96.0,1
att,850-45,2259995_S,-112.0,-96.0,1
att,850-475,2259995_S,-110.0,-96.0,1
att,850-174,2259995_S,-112.0,-96.0,1
att,850-397,2259995_S,-112.0,-96.0,1
att,850-252,2259995_S,-112.0,-96.0,1
att,850-242,2268325_S,-115.0,-113.0,1
att,850-242,2268325_S,-115.0,-96.0,1
att,850-404,2259995_S,-112.0,-96.0,1
att,850-334,2259995_S,-112.0,-96.0,1
att,850-493,2259995_S,-110.0,-96.0,1
