ts operator freq cid missing_flag_new
2019-05-06 02:53:00.941541 310120 926 453 False
2019-05-06 02:53:04.181960 310120 926 453 False
2019-05-06 02:53:47.829586 310120 926 454 False
2019-05-06 01:14:57.388995 310120 5035 152 False
2019-05-06 01:14:58.893850 310120 5035 152 False
2019-05-06 01:15:00.573230 310120 5035 152 False
2019-05-06 01:15:00.655007 310120 66561 29 False
2019-05-06 01:15:23.810857 310120 66561 29 False
2019-05-06 01:15:26.295012 310120 66561 191 False
2019-05-06 01:15:28.865835 310120 66561 191 False
2019-05-06 01:15:29.515019 310120 66561 191 False
2019-05-06 01:15:29.936819 310120 5035 290 False
2019-05-06 01:15:34.520129 310120 5035 259 False
2019-05-06 01:15:35.294643 310120 5035 259 False
2019-05-06 01:15:39.007170 310120 5035 259 False
2019-05-06 01:15:39.097890 310120 5035 259 False
2019-05-06 01:15:54.038973 310120 5035 27 False
2019-05-06 01:15:57.103043 310120 5035 27 False
2019-05-06 01:16:18.845821 310120 5035 27 False
2019-05-06 01:16:24.157879 310120 5035 27 False
2019-05-06 03:03:04.310675 310120 5035 497 False
2019-05-06 03:03:51.882959 310120 5035 497 False
2019-05-06 03:04:16.459267 310120 926 242 False
2019-05-06 02:46:41.655234 310120 66586 368 False
2019-05-06 02:46:41.740096 310120 5035 199 False
2019-05-06 02:46:42.025251 310120 5035 199 False
2019-05-06 02:47:01.274092 310120 5035 199 False
2019-05-06 02:47:06.915863 310120 5035 199 False
2019-05-06 02:47:20.644156 310120 5035 199 False
2019-05-06 02:47:21.445487 310120 5035 199 False
2019-05-06 02:47:27.602957 310120 5035 199 False
2019-05-06 02:47:27.993041 310120 5035 239 False
2019-05-06 02:47:29.735912 310120 5035 239 False
2019-05-06 02:47:39.822939 310120 926 61 False
2019-05-06 02:48:00.426317 310120 926 371 False
2019-05-06 02:48:14.212933 310120 926 369 False
2019-05-06 02:48:30.962023 310120 926 369 False
2019-05-06 02:27:12.286863 310120 5230 255 False
2019-05-06 02:28:30.636938 310120 926 235 False
2019-05-06 02:28:35.960166 310120 926 235 False
2019-05-06 02:29:30.633115 310120 926 435 False
2019-05-06 02:29:32.730050 310120 926 435 False
2019-05-05 23:04:35.729085 310120 5035 111 False
2019-05-05 23:04:17.285202 310120 5035 111 False
2019-05-05 23:04:20.937093 310120 5035 111 False
2019-05-06 02:56:22.076571 310120 5230 98 False
2019-05-06 02:56:22.176841 310120 5035 455 False
2019-05-06 02:56:22.452696 310120 5035 455 False
2019-05-06 02:56:32.519305 310120 5035 455 False
2019-05-06 02:56:32.897568 310120 5035 60 False
2019-05-06 02:56:50.149237 310120 5035 60 False
2019-05-06 02:56:50.272535 310120 5035 60 False
2019-05-06 02:57:01.302054 310120 5035 455 False
2019-05-06 02:57:01.386396 310120 5035 455 False
2019-05-06 02:57:01.691367 310120 5035 455 False
2019-05-06 02:57:14.638263 310120 5035 455 False
2019-05-06 02:57:14.704240 310120 5035 294 False
2019-05-06 02:57:15.013275 310120 5035 294 False
2019-05-06 02:57:31.428124 310120 5035 60 False
2019-05-06 02:57:31.796538 310120 5035 60 False
2019-05-06 02:44:57.066408 310120 66586 184 False
2019-05-06 02:44:58.930249 310120 926 374 False
2019-05-06 02:44:59.009306 310120 926 374 False
2019-05-06 02:45:04.251667 310120 926 374 False
2019-05-06 02:45:05.306816 310120 5035 239 False
2019-05-06 02:45:05.695130 310120 5035 239 False
2019-05-06 02:45:27.812105 310120 5035 239 False
2019-05-06 02:45:27.904146 310120 926 374 False
2019-05-06 02:45:33.009207 310120 926 374 False
2019-05-06 02:45:33.517123 310120 926 374 False
2019-05-06 02:45:39.968353 310120 926 374 False
2019-05-06 02:45:41.547620 310120 926 374 False
2019-05-06 02:45:42.206351 310120 926 374 False
2019-05-06 02:45:42.273169 310120 926 374 False
2019-05-06 02:45:42.877118 310120 926 374 False
2019-05-06 02:45:44.099159 310120 926 374 False
2019-05-06 02:45:44.846522 310120 926 374 False
2019-05-06 02:45:44.885880 310120 5035 199 False
2019-05-06 02:45:45.205339 310120 5035 199 False
2019-05-06 02:45:50.836389 310120 5035 199 False
2019-05-06 02:45:51.203423 310120 5035 52 False
2019-05-06 02:45:52.917028 310120 5035 52 False
2019-05-06 02:46:27.184390 310120 926 61 False
2019-05-06 02:46:28.273128 310120 5035 239 False
2019-05-06 02:46:28.679184 310120 5035 239 False
2019-05-06 03:08:10.282522 310120 1125 49 False
2019-05-06 03:08:59.044263 310120 5035 242 False
2019-05-06 03:08:59.240320 310120 5035 242 False
2019-05-06 03:01:10.602922 310120 66586 183 False
2019-05-06 03:01:11.634102 310120 66586 183 False
2019-05-06 03:01:17.073061 310120 66586 183 False
2019-05-06 03:01:21.874027 310120 66586 183 False
2019-05-06 03:01:28.117933 310120 66586 183 False
2019-05-06 03:01:31.473876 310120 66586 183 False
2019-05-06 03:01:42.917839 310120 66586 183 False
2019-05-06 03:01:43.283988 310120 5035 453 False
2019-05-06 03:01:53.505824 310120 5035 453 False
2019-05-06 03:01:53.338958 310120 5035 453 False
2019-05-06 03:02:15.673961 310120 5035 453 False
2019-05-06 03:02:23.414538 310120 5035 454 False
2019-05-06 02:54:30.696260 310120 5230 170 False
2019-05-06 02:54:32.669437 310120 5035 60 False
2019-05-06 02:54:33.042912 310120 5035 60 False
2019-05-06 02:54:41.452938 310120 5035 60 False
2019-05-06 02:54:41.539501 310120 5035 409 False
2019-05-06 02:54:41.814457 310120 5035 409 False
2019-05-06 02:54:44.800499 310120 926 454 False
2019-05-06 02:55:38.434254 310120 926 454 False
2019-05-06 02:55:39.200131 310120 926 454 False
2019-05-06 02:55:39.592652 310120 5035 60 False
2019-05-06 02:19:35.685262 310120 5035 482 False
2019-05-06 02:19:36.087596 310120 901 332 False
2019-05-06 02:19:49.541619 310120 901 332 False
2019-05-06 02:20:23.165030 310120 5035 455 False
2019-05-06 02:20:23.145193 310120 5035 455 False
2019-05-06 02:20:23.250061 310120 5035 455 False
2019-05-06 02:20:25.194578 310120 901 332 False
2019-05-06 02:21:21.234521 310120 901 330 False
2019-05-06 02:21:23.580035 310120 5035 453 False
2019-05-06 02:21:24.277182 310120 5035 453 False
2019-05-06 02:21:26.036652 310120 901 330 False
