ts cid PCI last_cid EARFCN last_freq sib5_freq in_sib5_freq_get_qmin in_sib5_freq_get_threshq sib3 in_sib3_freq_get_threshq sib3_priority priority op TAC tac cid_256 qual_high qual_low highest_pri higher_serv
2020-01-02 10:46:20.485293 227014652 PCI 358 EARFCN 1350 41134 None None sib3 True 4 None None TAC 4566 886775 [-666, -666] False False
2020-01-02 10:31:08.078233 25449674 PCI 148 EARFCN 38950 39148 None None sib3 True 5 None None TAC 4192 99412 [-666, -666] False False
2020-01-02 10:48:50.280204 11004547 PCI 63 EARFCN 38950 3683 None None sib3 True 5 None None TAC 4192 42986 [-666, -666] False False
2020-01-02 10:48:52.082532 4386099 PCI 111 EARFCN 3683 41134 None None sib3 True 3 None None TAC 4566 17133 [-666, -666] False False
2020-01-02 10:49:06.085054 11004547 PCI 63 EARFCN 38950 3683 None None sib3 True 5 None None TAC 4192 42986 [-666, -666] False False
2019-07-12 07:04:44.831944 9129239 PCI 222 EARFCN 37900 38950 False True sib3 True 6 7 None TAC 34603 35661 [-666, -666] True True
2019-07-12 07:04:44.831944 9129239 PCI 222 EARFCN 37900 1275 False True sib3 True 6 6 None TAC 34603 35661 [-666, -666] False False
2019-07-12 07:04:44.831944 9129239 PCI 222 EARFCN 37900 38098 False True sib3 True 6 6 None TAC 34603 35661 [-666, -666] False False
2019-07-12 07:04:44.831944 9129239 PCI 222 EARFCN 37900 40936 False True sib3 True 6 6 None TAC 34603 35661 [-666, -666] False False
2019-07-12 07:04:44.831944 9129239 PCI 222 EARFCN 37900 38400 False True sib3 True 6 5 None TAC 34603 35661 [-666, -666] False False
2019-07-12 07:04:44.831944 9129239 PCI 222 EARFCN 37900 38544 False True sib3 True 6 5 None TAC 34603 35661 [-666, -666] False False
2019-07-12 07:04:44.831944 9129239 PCI 222 EARFCN 37900 3683 False True sib3 True 6 4 None TAC 34603 35661 [-666, -666] False False
2019-07-12 07:04:44.831944 9129239 PCI 222 EARFCN 37900 100 False True sib3 True 6 None None TAC 34603 35661 [-666, -666] False False
2019-07-12 07:04:47.732070 9114392 PCI 248 EARFCN 38098 38950 False True sib3 True 6 7 None TAC 34603 35603 [-666, -666] True True
2019-07-12 07:04:47.732070 9114392 PCI 248 EARFCN 38098 1275 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:47.732070 9114392 PCI 248 EARFCN 38098 37900 None None sib3 True 6 None None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:47.732070 9114392 PCI 248 EARFCN 38098 38400 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:47.732070 9114392 PCI 248 EARFCN 38098 40936 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:47.732070 9114392 PCI 248 EARFCN 38098 38544 False True sib3 True 6 5 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:47.732070 9114392 PCI 248 EARFCN 38098 3683 False True sib3 True 6 4 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:47.732070 9114392 PCI 248 EARFCN 38098 100 False True sib3 True 6 None None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:50.705870 9114392 PCI 248 EARFCN 38098 38950 False True sib3 True 6 7 None TAC 34603 35603 [-666, -666] True True
2019-07-12 07:04:50.705870 9114392 PCI 248 EARFCN 38098 1275 False True sib3 True 6 6 None TAC 34603 35603 [-666, -666] False False
2019-07-12 07:04:50.705870 9114392 PCI 248 EARFCN 38098 37900 None None sib3 True 6 None None TAC 34603 35603 [-666, -666] False False
