ts cid PCI last_cid EARFCN last_freq sib5_freq in_sib5_freq_get_qmin in_sib5_freq_get_threshq sib3 in_sib3_freq_get_threshq sib3_priority priority op TAC tac cid_256 qual_high qual_low highest_pri higher_serv
2019-12-12 22:10:48.793013 49942282 PCI 304 EARFCN 850 2175 None None sib3 True 4 None ATT TAC 19980 195087 [-666, -666] False False
2019-12-12 22:10:51.600804 48900319 PCI 394 EARFCN 2175 850 None None sib3 True 4 None ATT TAC 19980 191016 [-666, -666] False False
2019-12-12 22:12:16.444111 49411294 PCI 261 EARFCN 66661 2000 None None sib3 True 4 None ATT TAC 19980 193012 [-666, -666] False False
2019-12-12 22:14:32.331366 49409559 PCI 70 EARFCN 2000 850 None None sib3 True 4 None ATT TAC 19980 193006 [-666, -666] False False
2019-04-17 23:02:57.252801 48902152 PCI 411 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-04-17 23:02:57.252801 48902152 PCI 411 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-04-17 23:02:57.252801 48902152 PCI 411 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-04-17 23:02:57.252801 48902152 PCI 411 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-04-17 23:02:57.252801 48902152 PCI 411 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-04-17 23:02:57.252801 48902152 PCI 411 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-04-17 23:02:57.252801 48902152 PCI 411 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-04-17 23:02:57.252801 48902152 PCI 411 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-05-05 15:25:28.556297 48768534 PCI 7 EARFCN 2175 850 None None sib3 True 4 None ATT TAC 19981 190502 [-666, -666] False False
2019-05-05 14:13:45.205352 48909592 PCI 451 EARFCN 2000 850 None None sib3 True 4 None ATT TAC 19980 191053 [-666, -666] False False
2019-05-05 14:54:50.763097 48770584 PCI 58 EARFCN 2175 2000 None None sib3 True 4 None ATT TAC 19981 190510 [-666, -666] False False
2019-05-05 14:54:53.345282 48886551 PCI 436 EARFCN 2000 5110 None None sib3 True 4 None ATT TAC 19981 190963 [-666, -666] False False
2019-05-05 15:07:55.399612 48768790 PCI 64 EARFCN 2175 850 None None sib3 True 4 None ATT TAC 19981 190503 [-666, -666] False False
2019-05-05 15:09:10.701863 48771593 PCI 40 EARFCN 850 2425 None None sib3 True 4 None ATT TAC 19981 190514 [-666, -666] False False
2019-05-05 14:45:18.790283 48871448 PCI 143 EARFCN 2000 850 None None sib3 True 4 None ATT TAC 19981 190904 [-666, -666] False False
2019-05-05 15:47:13.419362 49051158 PCI 261 EARFCN 2000 65535 None None sib3 True 4 None ATT TAC 19981 191606 [-666, -666] False False
2019-05-05 15:47:21.823225 49051158 PCI 261 EARFCN 2000 65535 None None sib3 True 4 None ATT TAC 19981 191606 [-666, -666] False False
2019-05-05 15:32:25.159546 49050135 PCI 292 EARFCN 2000 850 None None sib3 True 4 None ATT TAC 19981 191602 [-666, -666] False False
2019-05-05 15:32:32.380490 49050633 PCI 16 EARFCN 850 2000 None None sib3 True 4 None ATT TAC 19981 191604 [-666, -666] False False
2019-05-05 15:33:37.868184 49050135 PCI 292 EARFCN 2000 5110 None None sib3 True 4 None ATT TAC 19981 191602 [-666, -666] False False
2019-05-05 15:43:03.466776 49050902 PCI 279 EARFCN 2000 65535 None None sib3 True 4 None ATT TAC 19981 191605 [-666, -666] False False
2019-05-05 13:48:43.717679 48905922 PCI 305 EARFCN 66911 9820 None None sib3 True 4 None ATT TAC 19980 191038 [-666, -666] False False
2019-05-05 15:22:54.590234 48771606 PCI 226 EARFCN 2175 2425 None None sib3 True 4 None ATT TAC 19981 190514 [-666, -666] False False
2019-05-05 14:21:19.187522 48910559 PCI 488 EARFCN 2175 850 None None sib3 True 4 None ATT TAC 19980 191056 [-666, -666] False False
2019-05-05 14:21:25.065850 48910345 PCI 170 EARFCN 850 2425 None None sib3 True 4 None ATT TAC 19980 191056 [-666, -666] False False
2019-05-05 14:22:26.959150 48910358 PCI 472 EARFCN 2000 9820 None None sib3 True 4 None ATT TAC 19980 191056 [-666, -666] False False
2019-05-05 14:03:42.538915 49409288 PCI 6 EARFCN 850 2425 None None sib3 True 4 None ATT TAC 19980 193005 [-666, -666] False False
2019-05-05 13:40:28.615276 49414294 PCI 58 EARFCN 9820 850 None None sib3 True 4 None ATT TAC 19980 193024 [-666, -666] False False
2019-05-05 14:17:01.996272 48910346 PCI 234 EARFCN 850 2425 None None sib3 True 4 None ATT TAC 19980 191056 [-666, -666] False False
2019-05-05 14:29:20.195132 48915223 PCI 445 EARFCN 2000 850 None None sib3 True 4 None ATT TAC 19980 191075 [-666, -666] False False
2019-05-05 14:27:07.260645 48915210 PCI 386 EARFCN 850 2425 None None sib3 True 4 None ATT TAC 19980 191075 [-666, -666] False False
2019-05-05 15:05:50.086503 48768792 PCI 357 EARFCN 2175 850 None None sib3 True 4 None ATT TAC 19981 190503 [-666, -666] False False
2019-05-05 14:40:22.311469 48886807 PCI 186 EARFCN 2000 850 None None sib3 True 4 None ATT TAC 19981 190964 [-666, -666] False False
2019-05-05 15:14:01.860500 48774422 PCI 24 EARFCN 2175 2425 None None sib3 True 4 None ATT TAC 19981 190525 [-666, -666] False False
2019-05-05 15:26:21.234137 48768534 PCI 7 EARFCN 2175 850 None None sib3 True 4 None ATT TAC 19981 190502 [-666, -666] False False
2019-05-05 15:26:54.083406 48930071 PCI 36 EARFCN 66661 2425 None None sib3 True 4 None ATT TAC 19981 191133 [-666, -666] False False
2019-08-29 23:20:03.400836 48918280 PCI 274 EARFCN 850 2000 None None sib3 True 4 None ATT TAC 19980 191087 [-666, -666] False False
2019-08-29 23:16:00.528093 49414153 PCI 412 EARFCN 850 2425 None None sib3 True 4 None ATT TAC 19980 193024 [-666, -666] False False
2019-08-29 23:16:47.996457 49414354 PCI 413 EARFCN 1150 850 None None sib3 True 4 None ATT TAC 19980 193024 [-666, -666] False False
2019-09-29 17:27:02.490864 48899478 PCI 77 EARFCN 9820 850 None None sib3 True 4 None ATT TAC 19980 191013 [-666, -666] False False
2019-09-29 18:16:04.937021 49409686 PCI 46 EARFCN 9820 2000 None None sib3 True 4 None ATT TAC 19980 193006 [-666, -666] False False
2019-09-29 17:41:06.349636 49921546 PCI 197 EARFCN 850 2000 None None sib3 True 4 None ATT TAC 19980 195006 [-666, -666] False False
2019-09-29 18:01:16.565299 49942296 PCI 104 EARFCN 2000 1150 None None sib3 True 4 None ATT TAC 19980 195087 [-666, -666] False False
2019-09-29 18:02:06.935685 49412050 PCI 88 EARFCN 1150 9820 None None sib3 True 4 None ATT TAC 19980 193015 [-666, -666] False False
2019-09-29 18:02:08.536973 48903063 PCI 56 EARFCN 9820 5145 None None sib3 True 4 None ATT TAC 19980 191027 [-666, -666] False False
2019-09-29 18:38:40.635052 48907628 PCI 27 EARFCN 2000 5145 None None sib3 True 4 None ATT TAC 19980 191045 [-666, -666] False False
2019-09-29 18:10:13.329252 48901654 PCI 48 EARFCN 2000 5145 None None sib3 True 4 None ATT TAC 19980 191022 [-666, -666] False False
2019-09-29 17:30:00.845316 48897801 PCI 454 EARFCN 850 1150 None None sib3 True 4 None ATT TAC 19980 191007 [-666, -666] False False
2019-09-29 17:50:12.992086 49411850 PCI 310 EARFCN 850 2000 None None sib3 True 4 None ATT TAC 19980 193015 [-666, -666] False False
2019-09-29 17:50:37.662941 49414354 PCI 413 EARFCN 1150 850 None None sib3 True 4 None ATT TAC 19980 193024 [-666, -666] False False
2019-09-29 17:32:46.693376 49411850 PCI 310 EARFCN 850 1150 None None sib3 True 4 None ATT TAC 19980 193015 [-666, -666] False False
2019-09-29 17:32:51.677523 49414354 PCI 413 EARFCN 1150 9820 None None sib3 True 4 None ATT TAC 19980 193024 [-666, -666] False False
2019-09-29 17:30:58.132065 49414354 PCI 413 EARFCN 1150 850 None None sib3 True 4 None ATT TAC 19980 193024 [-666, -666] False False
2019-09-29 17:31:51.844052 49408266 PCI 314 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 193001 [-666, -666] False False
2019-09-29 17:32:05.098932 48899991 PCI 65 EARFCN 9820 850 None None sib3 True 4 None ATT TAC 19980 191015 [-666, -666] False False
2019-09-29 18:17:30.156854 48906264 PCI 62 EARFCN 2000 2175 None None sib3 True 4 None ATT TAC 19980 191040 [-666, -666] False False
2019-09-29 17:51:45.874048 49412050 PCI 88 EARFCN 1150 5145 None None sib3 True 4 None ATT TAC 19980 193015 [-666, -666] False False
2019-09-29 18:21:54.067805 48905993 PCI 172 EARFCN 850 1150 None None sib3 True 4 None ATT TAC 19980 191039 [-666, -666] False False
2019-09-29 18:22:53.821569 48906193 PCI 358 EARFCN 1150 850 None None sib3 True 4 None ATT TAC 19980 191039 [-666, -666] False False
2019-09-29 18:03:33.761371 48902367 PCI 331 EARFCN 2175 1150 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-09-29 18:04:01.249023 49412050 PCI 88 EARFCN 1150 2000 None None sib3 True 4 None ATT TAC 19980 193015 [-666, -666] False False
2019-09-29 18:07:46.628057 49921560 PCI 365 EARFCN 2000 2175 None None sib3 True 4 None ATT TAC 19980 195006 [-666, -666] False False
